"File","Class","Result"
"isolado_60_EM1_D1'_L1.JPG","EM1","EM1"
"isolado_60_EM1_D1'_L2.JPG","EM1","EM1"
"isolado_60_EM1_D1_L1.JPG","EM1","EM1"
"isolado_60_EM1_D1_L2.JPG","EM1","EM1"
"isolado_60_EM1_D2_L1.JPG","EM1","EM1"
"isolado_60_EM1_D2_L2.JPG","EM1","EM1"
"isolado_60_EM1_D4_L1.JPG","EM1","EM1"
"isolado_60_EM1_D5_L2.JPG","EM1","EM2"
"isolado_60_EM2_D5_L1.JPG","EM2","EM2"
"isolado_60_EM2_D5_L2.JPG","EM2","EM2"
"isolado_60_EM2_D6'_L1.JPG","EM2","EM2"
"isolado_60_EM2_D6'_L2.JPG","EM2","EM2"
"isolado_60_EM2_D6_L1.JPG","EM2","EM2"
"isolado_60_EM2_D6_L2.JPG","EM2","EM2"
"isolado_60_EM2_D7_L1.JPG","EM2","EM2"
"isolado_60_EM2_D8_L1.JPG","EM2","EM2"
"isolado_60_EM3_D1_L1.JPG","EM3","EM3"
"isolado_60_EM3_D1_L2.JPG","EM3","EM3"
"isolado_60_EM3_D23''_L1.JPG","EM3","EM3"
"isolado_60_EM3_D23''_L2.JPG","EM3","EM3"
"isolado_60_EM3_D23'_L2.JPG","EM3","EM3"
"isolado_60_EM3_D23_L2.JPG","EM3","EM3"
"isolado_60_EM3_D3_L1.JPG","EM3","EM3"
"isolado_60_EM3_D3_L2.JPG","EM3","EM3"
